0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-56,-31,-63,-34,-33,-71,-38,-54,-61,-50,-54,-57,-50,-56,-53,-43,-55,-53,-54,-54,-43,-56,-56,-50,-59,-59,-55,-63,-57,-57,-60
-29,-31,-36,-33,-32,-43,-41,-54,-58,-42,-41,-58,-56,-56,-53,-54,-54,-52,-53,-53,-42,-57,-55,-55,-61,-59,-54,-63,-58,-56,-52
-28,-33,-35,-36,-35,-36,-52,-45,-59,-41,-51,-48,-56,-55,-53,-52,-54,-52,-44,-57,-55,-56,-55,-52,-60,-55,-54,-59,-59,-58,-55
-31,-38,-46,-32,-33,-52,-50,-50,-57,-40,-51,-43,-56,-54,-53,-45,-56,-54,-54,-58,-53,-56,-56,-55,-61,-58,-60,-62,-60,-57,-63
-25,-33,-64,-30,-33,-41,-38,-54,-54,-41,-50,-60,-56,-58,-55,-53,-55,-53,-53,-57,-52,-57,-55,-55,-60,-59,-57,-60,-57,-58,-53
-26,-35,-35,-56,-35,-35,-38,-50,-56,-50,-53,-40,-43,-54,-54,-53,-56,-55,-53,-55,-53,-56,-57,-51,-63,-62,-57,-62,-59,-58,-61
-29,-43,-60,-58,-33,-53,-38,-45,-56,-41,-54,-40,-52,-58,-53,-54,-55,-52,-44,-58,-54,-56,-55,-52,-61,-59,-59,-61,-58,-57,-63
-26,-35,-54,-51,-43,-37,-50,-54,-56,-59,-50,-58,-57,-59,-52,-53,-54,-53,-53,-58,-55,-56,-55,-56,-61,-59,-60,-63,-56,-57,-63
-25,-49,-34,-57,-34,-38,-37,-55,-58,-42,-50,-41,-51,-55,-53,-52,-55,-53,-52,-57,-53,-54,-55,-52,-60,-59,-54,-61,-58,-57,-52
-26,-34,-35,-52,-48,-36,-49,-43,-56,-58,-43,-48,-56,-57,-53,-53,-55,-53,-54,-58,-56,-56,-56,-56,-57,-57,-58,-59,-59,-55,-52
-25,-41,-53,-53,-48,-53,-38,-54,-60,-41,-52,-49,-42,-56,-44,-43,-54,-53,-52,-52,-54,-58,-54,-55,-59,-57,-59,-63,-58,-59,-53
-29,-41,-54,-35,-38,-37,-52,-53,-55,-50,-41,-57,-51,-57,-53,-54,-55,-44,-54,-54,-54,-57,-55,-51,-61,-57,-56,-58,-60,-59,-50
-25,-49,-35,-54,-42,-46,-38,-51,-58,-58,-49,-49,-51,-57,-53,-51,-53,-52,-54,-57,-53,-56,-56,-56,-59,-58,-58,-58,-59,-57,-63
-30,-40,-55,-34,-36,-47,-47,-51,-56,-58,-49,-59,-56,-56,-54,-53,-54,-53,-52,-55,-53,-56,-55,-52,-61,-60,-62,-58,-59,-56,-62
-27,-34,-52,-53,-51,-47,-37,-44,-54,-41,-41,-41,-56,-57,-55,-51,-55,-52,-53,-53,-52,-58,-57,-55,-60,-59,-54,-61,-57,-58,-61
-28,-42,-55,-52,-52,-51,-42,-52,-55,-58,-54,-58,-57,-53,-54,-44,-56,-55,-52,-56,-42,-56,-56,-56,-60,-61,-53,-63,-58,-57,-60
-28,-33,-55,-34,-51,-42,-50,-45,-56,-59,-55,-58,-50,-54,-53,-54,-56,-54,-55,-56,-42,-57,-57,-43,-63,-59,-59,-57,-57,-60,-52
-30,-55,-55,-50,-50,-41,-40,-52,-59,-58,-42,-50,-50,-56,-55,-54,-55,-71,-53,-54,-50,-58,-55,-52,-59,-58,-59,-57,-57,-58,-60
-26,-35,-54,-52,-37,-38,-37,-52,-56,-59,-52,-49,-57,-55,-54,-52,-54,-53,-54,-53,-54,-56,-57,-56,-59,-61,-59,-59,-58,-56,-53
-26,-34,-32,-35,-37,-37,-37,-49,-59,-50,-55,-49,-56,-55,-53,-43,-55,-55,-44,-57,-52,-56,-57,-56,-58,-56,-54,-58,-59,-59,-60
-36,-50,-54,-50,-38,-36,-40,-53,-57,-40,-49,-59,-50,-57,-54,-44,-55,-52,-53,-57,-42,-57,-55,-53,-60,-59,-59,-62,-56,-56,-60
-33,-37,-57,-32,-54,-36,-48,-50,-56,-50,-49,-58,-51,-56,-54,-52,-54,-51,-50,-56,-53,-56,-56,-52,-59,-57,-53,-58,-59,-55,-57
-25,-36,-59,-51,-54,,,-52,-57,-58,-54,-49,-52,-59,-53,-53,-55,-53,-43,-53,-53,-57,-56,-55,-56,-56,-55,-63,-58,-56,-52
-26,-31,-47,-52,-47,,,-40,-55,-58,-42,-59,-56,-55,-52,-54,-56,-44,-54,-52,-51,-54,-57,-56,-63,-56,-59,-60,-57,-58,-61
