22,-61
23,-57
24,-59
25,-58
26,-59
27,-49
28,-50
29,-58
30,-41
31,-59
32,-49
33,-58
34,-58
35,-41
36,-41
37,-59
38,-59
39,-41
41,-49
42,-59
44,-41
45,-60
47,-41
48,-50
50,-60
51,-51
53,-41
54,-57
56,-56
57,-58
59,-60
60,-57
2,-59
3,-50
5,-42
6,-41
8,-40
9,-41
10,-50
11,-41
12,-59
13,-42
14,-58
15,-41
16,-50
17,-58
18,-58
19,-41
20,-58
21,-59
22,-58
23,-59
24,-50
25,-40
26,-50
27,-58
28,-58
29,-51
30,-60
31,-58
32,-41
33,-59
34,-58
35,-57
36,-50
37,-59
38,-50
39,-50
40,-54
41,-58
42,-59
43,-51
44,-57
45,-58
46,-53
47,-58
48,-56
49,-51
