2,-55
3,-55
4,-49
5,-54
6,-56
7,-41
8,-49
9,-49
10,-55
11,-55
12,-40
13,-55
14,-55
15,-55
16,-56
18,-41
20,-49
21,-49
22,-41
24,-56
25,-50
27,-56
28,-57
29,-54
30,-53
31,-54
32,-53
33,-58
34,-56
35,-55
36,-54
37,-57
38,-55
39,-56
40,-56
41,-55
42,-54
43,-58
44,-54
45,-58
46,-59
47,-55
48,-57
49,-56
50,-57
51,-57
52,-56
53,-57
54,-53
55,-54
56,-56
57,-55
58,-55
60,-57
1,-56
3,-59
4,-55
5,-40
6,-50
7,-56
9,-57
10,-56
11,-48
12,-55
13,-54
14,-56
15,-54
16,-57
17,-58
18,-55
19,-55
20,-59
21,-39
22,-54
