15,-62
16,-60
17,-63
18,-54
19,-53
20,-60
21,-54
22,-54
23,-58
25,-60
26,-54
27,-61
28,-69
30,-66
31,-53
32,-54
33,-52
34,-66
35,-60
36,-56
37,-56
38,-62
39,-62
41,-61
42,-53
43,-63
44,-64
45,-61
46,-52
47,-54
49,-55
50,-59
51,-53
52,-60
53,-52
54,-55
55,-63
57,-53
58,-61
60,-63
1,-63
2,-52
3,-52
5,-53
6,-50
7,-63
8,-62
9,-61
10,-60
11,-52
12,-60
13,-53
14,-60
15,-60
16,-57
17,-52
18,-61
19,-63
20,-62
21,-62
22,-61
23,-54
24,-48
25,-62
26,-59
27,-58
28,-44
29,-54
30,-42
31,-51
33,-42
34,-61
35,-53
36,-50
