48,-56
49,-57
50,-62
51,-58
52,-59
53,-59
54,-58
55,-58
56,-58
57,-57
58,-57
59,-56
60,-57
2,-56
3,-56
4,-56
5,-56
6,-57
8,-56
9,-55
11,-55
12,-56
13,-55
14,-58
15,-57
16,-56
17,-56
18,-57
19,-59
20,-55
21,-58
22,-58
23,-56
24,-61
25,-58
26,-59
27,-57
28,-54
29,-56
30,-56
31,-56
33,-58
34,-56
36,-60
37,-55
38,-58
39,-56
40,-54
41,-55
42,-56
43,-59
44,-56
45,-59
46,-57
47,-56
48,-57
49,-55
50,-58
51,-55
52,-56
53,-54
54,-57
55,-54
56,-56
57,-57
58,-56
59,-59
60,-56
1,-57
2,-58
3,-56
4,-56
5,-59
6,-57
7,-57
